Track_uri,Album_name,Track_name,Track_genres,Artist_name,Track_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:5ZsAhuQ24mWHiduaxJqnhW,Ved,Udd Gaye,"desi hip hop,desi pop,hindi indie,indian edm",Ritviz,66,0.595,0.817,11,-6.187,0.0474,0.000712,0.0386,0.142,0.483,144.961,180414
spotify:track:43mHckutQvJr49nT0UvRxy,Ved,Sage,"desi hip hop,desi pop,hindi indie,indian edm",Ritviz,62,0.663,0.412,5,-8.195,0.364,0.00434,0.019,0.215,0.356,98.023,230204
spotify:track:2FCXQHugkoHE1K3tiDu8pu,Love Forever With Arijit Singh,"Agar Tum Saath Ho (From ""Tamasha"")","desi pop,filmi,modern bollywood",Arijit Singh,69,0.562,0.519,3,-8.744,0.0326,0.557,0.000268,0.172,0.415,122.925,341055
spotify:track:5lrA2NzUxmBjKr2tCZfMtl,"Ik Vaari Aa (From ""Raabta"")","Ik Vaari Aa (From ""Raabta"")","desi pop,filmi,modern bollywood",Arijit Singh,59,0.512,0.752,4,-4.857,0.0534,0.305,0.0,0.708,0.428,127.965,274687
spotify:track:7F8RNvTQlvbeBLeenycvN6,Rockstar,Kun Faya Kun,"desi pop,filmi,modern bollywood",A.R. Rahman,68,0.362,0.378,1,-11.008,0.0329,0.679,0.0,0.091,0.575,87.549,470500
spotify:track:6nZiYSBwPQ7fYnVWkkkj4g,Baar Baar Dekho (Original Motion Picture Soundtrack),Kho Gaye Hum Kahan,"desi pop,filmi,indian singer-songwriter,modern bollywood",Jasleen Royal,69,0.778,0.227,1,-16.191,0.0379,0.983,0.14,0.113,0.38,116.033,213056
spotify:track:6pzlnyHTVYi5FOmrgOmC95,Kedarnath,Jaan 'Nisaar (Arijit),"desi pop,filmi,modern bollywood",Arijit Singh,69,0.481,0.392,4,-8.2,0.0246,0.478,0.0,0.122,0.257,91.796,238370
spotify:track:1O5mTSQa0sCce9ghhDqIZl,Jodhaa Akbar (Original Motion Picture Soundtrack),Jashn-E-Bahaaraa,"desi pop,filmi,modern bollywood",A.R. Rahman,69,0.7,0.343,2,-10.474,0.0308,0.767,0.0,0.0789,0.488,137.864,315173
spotify:track:4iFPsNzNV7V9KJgcOX7TEO,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Tu Jaane Na,"classic pakistani pop,desi pop,filmi,modern bollywood,sufi",Atif Aslam,70,0.702,0.86,7,-3.969,0.0345,0.361,1.33e-06,0.133,0.829,120.042,341933
spotify:track:2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","desi pop,filmi,modern bollywood",Arijit Singh,70,0.427,0.396,11,-7.556,0.0366,0.736,0.0,0.11,0.306,70.368,284780
spotify:track:4e9dIemIXO8Tzg0k4aWujk,"Raabta (Title Track) [From ""Raabta""]","Raabta (Title Track) [From ""Raabta""]","desi pop,filmi,modern bollywood",Arijit Singh,57,0.636,0.701,5,-6.825,0.0363,0.414,0.0,0.106,0.352,113.886,297158
spotify:track:4nydCE0L7G13XLKPzvLlNs,Mary Kom,Sukoon Mila,"desi pop,filmi,modern bollywood",Arijit Singh,62,0.634,0.378,9,-8.367,0.0295,0.566,0.0,0.0919,0.527,123.949,200438
spotify:track:4cNbz1UdBCrnGOg0NNP1iF,Aiyaary,Lae Dooba,"desi pop,filmi,modern bollywood,sufi",Sunidhi Chauhan,64,0.569,0.297,6,-8.639,0.0292,0.879,0.0,0.0938,0.466,89.96,229878
spotify:track:3aaiAWCet6sbfOfLSn3g7i,Bajrangi Bhaijaan,Tu Chahiye,"classic pakistani pop,desi pop,filmi,modern bollywood,sufi",Atif Aslam,58,0.565,0.744,7,-5.817,0.0446,0.403,0.0,0.0853,0.415,134.068,272680
spotify:track:0zHZSO80CTxNtvtRhveHRJ,Baar Baar Dekho (Original Motion Picture Soundtrack),Sau Aasmaan,"desi pop,filmi,modern bollywood",Armaan Malik,64,0.63,0.729,6,-4.93,0.0287,0.123,8e-06,0.0786,0.44,127.919,234737
spotify:track:2IoZMG3RqiTmsy7Li3zGFg,"Mere Sohneya (From ""Kabir Singh"")","Mere Sohneya (From ""Kabir Singh"")","desi pop,modern bollywood",Sachet Tandon,62,0.376,0.643,9,-5.713,0.0411,0.558,0.0,0.217,0.646,136.224,193356
spotify:track:0mJTAdmY8olbGQjopDYff3,Vaaste,Vaaste,"desi pop,modern bollywood",Dhvani Bhanushali,66,0.444,0.479,5,-5.586,0.0436,0.454,0.0,0.095,0.315,89.892,196044
spotify:track:7txLCGOXyDlDXTjtR1Sk4v,Bajrangi Bhaijaan,Tu Jo Mila,"desi pop,filmi,modern bollywood",KK,62,0.576,0.591,0,-7.725,0.0332,0.795,6.85e-05,0.266,0.478,124.013,242864
spotify:track:77gskLti3ilCnuwlDq0m8j,2016 Shinning Star - Arijit Singh,"Phir Kabhi (From ""M.S.Dhoni - The Untold Story"")","desi pop,filmi,modern bollywood",Arijit Singh,56,0.405,0.665,4,-5.498,0.0328,0.614,0.0,0.525,0.404,81.921,287422
spotify:track:0LRcXYhaWLqbs1wvSV0o9u,Baar Baar Dekho (Original Motion Picture Soundtrack),Dariya,"desi pop,filmi,modern bollywood",Arko,66,0.581,0.424,8,-6.616,0.0269,0.723,0.0,0.101,0.352,98.936,217992
spotify:track:3bZPdEskcnMdepwCaDSJRl,I Hate Luv Storys (Original Motion Picture Soundtrack),Bin Tere,"desi pop,filmi,modern bollywood,sufi",Sunidhi Chauhan,61,0.585,0.698,9,-6.261,0.0392,0.42,3.59e-06,0.363,0.621,139.831,330360
spotify:track:46elU7IBKWf55D5sjHGqO7,Zindagi Na Milegi Dobara,Dil Dhadakne Do,"filmi,modern bollywood",Suraj Jagan,60,0.778,0.599,2,-4.758,0.032,0.0705,0.0,0.59,0.949,116.951,230319
spotify:track:723xQva0yBF7M6K3nDAG8R,Zindagi Na Milegi Dobara,Sooraj Ki Baahon Mein,"filmi,modern bollywood",Clinton Cerejo,64,0.855,0.553,11,-6.52,0.0331,0.19,5.19e-06,0.0942,0.874,124.922,202919
spotify:track:3TAhWtQnpoL5Vl9VQPl9fU,Zindagi Na Milegi Dobara,Senorita,"desi pop,filmi,modern bollywood",Farhan Akhtar,62,0.701,0.681,9,-6.442,0.0466,0.134,0.0,0.064,0.81,122.539,229576
spotify:track:0yCWDaAgOtg6TKlNCg9rwA,The Carnival,Tu Aake Dekhle,"desi hip hop,desi pop,hindi hip hop",King,79,0.77,0.84,11,-4.022,0.107,0.515,0.00452,0.145,0.192,96.012,270000
spotify:track:3APdIdF8H0jsxSuGOqXedS,Jaane Tu... Ya Jaane Na,Kabhi Kabhi Aditi,"filmi,modern bollywood",Rashid Ali,71,0.791,0.558,7,-7.155,0.0661,0.276,0.0,0.0859,0.872,95.077,218836
spotify:track:6M2UnI1LnXuXlWU54CKmKx,Dostana (Original Motion Picture Soundtrack),Jaane Kyun,"desi hip hop,desi pop,filmi,modern bollywood",Vishal Dadlani,56,0.778,0.812,4,-8.561,0.046,0.0573,8.28e-06,0.243,0.791,99.962,277987
spotify:track:2hTn8oS49IQULxAWs7hEBz,Sakhiyan2.0 - BellBottom,Sakhiyan2.0,"desi hip hop,desi pop,punjabi pop",Maninder Buttar,67,0.817,0.715,9,-5.13,0.0484,0.183,0.0,0.214,0.398,100.002,177695
spotify:track:43GfQ1SC17rBWiHkOtdwK8,Jab Koi Baat - Recreated,Jab Koi Baat - Recreated,"classic pakistani pop,desi pop,filmi,modern bollywood,sufi",Atif Aslam,66,0.667,0.621,5,-5.697,0.0271,0.47,4.15e-05,0.13,0.451,106.032,192229
spotify:track:5fwRhPXAvGgzUxW62ZCvEg,Zeher,Woh Lamhe Woh Baatein,"classic pakistani pop,desi pop,filmi,modern bollywood,sufi",Atif Aslam,63,0.465,0.822,8,-4.826,0.066,0.136,0.000442,0.0898,0.405,89.761,320040
spotify:track:3HFjh7QljnUCBLsoTwMuTj,Woh Lamhe,Kya Mujhe Pyar Hai,"desi pop,filmi,modern bollywood",KK,65,0.644,0.818,6,-5.924,0.0549,0.431,2.62e-05,0.0806,0.789,118.477,266653
spotify:track:61IEe4ujPKOU7OIyubydfz,Boondein,Dooba Dooba,"filmi,modern bollywood",Silk Route,53,0.716,0.562,5,-8.741,0.0315,0.529,0.000133,0.0928,0.533,105.004,303020
spotify:track:3vqJY3pVELLIxqXXyI08yr,Rang De Basanti (Original Motion Picture Soundtrack),Roobaroo,"desi pop,filmi,modern bollywood",A.R. Rahman,58,0.675,0.582,9,-8.891,0.0277,0.661,5.56e-06,0.0854,0.538,120.991,282973
spotify:track:6w458kA8WOAIZr1ublxnK9,Tamasha,Safarnama,"desi pop,filmi,modern bollywood",Lucky Ali,62,0.541,0.512,9,-10.203,0.0291,0.74,0.000528,0.162,0.203,120.036,251402
spotify:track:0hVXFWS00liq3W2YAQUma4,Anjaana Anjaani,Aas Paas Khuda (Unplugged),"classic pakistani pop,filmi,modern bollywood,qawwali,sufi",Rahat Fateh Ali Khan,49,0.453,0.305,5,-7.578,0.0293,0.881,0.0,0.133,0.543,79.0,204234
spotify:track:3MVPReTwLNOBFb6KjiIRNM,Jackpot,Kabhi Jo Baadal Barse,"desi pop,filmi,modern bollywood",Arijit Singh,60,0.451,0.449,0,-6.702,0.0293,0.261,0.0,0.143,0.217,149.768,254300
spotify:track:648GXyKI62FhbeBq0levWr,Salaam-E-Ishq,Dil Kya Kare,"classic bollywood,classic pakistani pop,desi pop,filmi,modern bollywood",Adnan Sami,60,0.76,0.547,7,-9.386,0.0351,0.0957,1.04e-05,0.12,0.667,95.023,327880
